HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
071310,PEAS (PISUM SATIVUM) DRIED AND SHLD 聽,400.11,566.29,850.05,3905.94,6449.54
071320,CHICKPEAS (GARBANZOS) DRIED AND SHLD 聽,170022.13,194912.55,333805.63,190225.88,217033.95
071331,BEANS OF THE SPP VIGNA MUNGOHEPPER OR VIGNA RADIATAWILCZEK DRIED AND SHLD 聽,752.18,1614.76,1676.37,4257.95,6390.19
071332,SMALL RED BEANS DRIED AND SHLD 聽,35.97,41.86,91.03,23.65,2.34
071333,KIDNY BENS INCL WHTE PEA BENS DRIED AND SHLD 聽,81.11,50.79,71.73,300.52,115.67
071334,BAMBARA BEANS (VIGNA SUBTERRANEA OR VOANDZEIA SUBTERRANEA) 聽,0.0,0.0,4.0,0.0,0.0
071335,COW PEAS (VIGNA UNGUICULATA) 聽,0.0,0.0,117.15,131.47,258.29
071339,OTER BEANS DRIED AND SHLD 聽,417.21,1056.08,1335.52,1622.19,1006.72
071340,LENTILS (MOSUR)DRIED AND SHLD 聽,445.0,1043.82,1092.32,7982.92,11775.14
071350,BROAD BEANS AND HORSE BEANS DRIED AND SHLD 聽,30.42,119.95,0.24,26.0,1.0
071360,PIGEON PEAS (CAJANUS CAJAN) 聽,0.0,0.0,104.2,1216.02,4025.88
071390,OTHR DRIED AND SHLD LUGUMINOUS VEGITABLS 聽,2441.06,3345.26,6625.66,12569.54,8970.74
Total,All Commodities,174625.19,202751.36000000002,345773.9,222262.08000000002,256029.46000000002
