HSCode,Commodity,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
071310,PEAS (PISUM SATIVUM) DRIED AND SHLD 聽,2039441.0,1370821.5,1330425.88,1951973.88,2245390.25
071320,CHICKPEAS (GARBANZOS) DRIED AND SHLD 聽,206487.28,697626.81,276130.69,418876.53,1031486.63
071331,BEANS OF THE SPP VIGNA MUNGOHEPPER OR VIGNA RADIATAWILCZEK DRIED AND SHLD 聽,429528.75,642837.06,624231.81,622886.63,581603.44
071332,SMALL RED BEANS DRIED AND SHLD 聽,50.0,4825.0,795.0,0.0,0.0
071333,KIDNY BENS INCL WHTE PEA BENS DRIED AND SHLD 聽,63258.84,83731.52,88240.27,116897.53,111506.09
071335,COW PEAS (VIGNA UNGUICULATA) 聽,0.0,0.0,11076.95,57556.27,80650.86
071339,OTER BEANS DRIED AND SHLD 聽,131045.97,180393.66,129578.53,74741.57,57510.54
071340,LENTILS (MOSUR)DRIED AND SHLD 聽,117927.83,506347.41,708707.69,816466.88,1260192.88
071350,BROAD BEANS AND HORSE BEANS DRIED AND SHLD 聽,0.0,2184.1,2.2,0.0,0.0
071360,PIGEON PEAS (CAJANUS CAJAN) 聽,0.0,0.0,465822.22,575217.81,462713.0
071390,OTHR DRIED AND SHLD LUGUMINOUS VEGITABLS 聽,508104.82,530928.35,20266.97,7900.6,47343.84
Total,All Commodities,3495844.4899999998,4019695.41,3655278.2100000004,4642517.699999999,5878397.529999999
